id,otel_id,otel_ad,yorum,opinion,score
14,1,Adam Eve,"Negatif yonu, Tek olumsuz yonu f&b de personel mi eksik bilmiyorum ama yetismekte zorlaniyorlar icki almak icin hep bara gitmeme ragmen en az yarim saat sira bekledim cogunlukla ki 3.gidisim hep bu sorun vardi .",olumsuz,0.9952197074890137
15,1,Adam Eve,"Pozitif yonu, Eglence konum Oda manzaralari",olumlu,0.9975890517234802
16,1,Adam Eve,"Negatif yonu, Hizmet yetersizdi Fb personeli cok yetersiz Yiyecek cesidi azalmisti",olumsuz,0.9973400235176086
17,28,Orange County Kemer,"Pozitif yonu, Yemekler, eglence, konum",olumlu,0.9976009130477905
18,28,Orange County Kemer,"Pozitif yonu, denizi cok guzeldi. personel guler yuzlu",olumlu,0.998136579990387
19,28,Orange County Kemer,"Negatif yonu, oda temizligini begenmedik. koyulan tek kullanimlik urunleri oda temizleme sirasinda yenileri koyulmadi. surekli pamugu vs bekledik. izgara ve tatli pizza bufesi harici yemekler ve kokteyler berbatti.",olumsuz,0.9979355335235596
20,28,Orange County Kemer,"Pozitif yonu, Tasarimi Denizi Aktiviteleri Personeli",olumlu,0.9988282322883606
21,28,Orange County Kemer,"Negatif yonu, Dusuk alkollu ickileri",olumsuz,0.99800044298172
22,28,Orange County Kemer,"Pozitif yonu, Otel odalari gayet guzel. Yemekler iyi. Denize yakinligi konusu cok iyi.",olumlu,0.9978527426719666
23,28,Orange County Kemer,"Negatif yonu, Yemek ve icmekte sira fazla bekliyorsunuz. Bazen sira gelmeden alacaginiz urun bitiyor.  Havuz Nisan ayinda cok soguk tabi deniz de. Gec kahvalti olayi bitmis. Cunku 10:30 kalktigimizda kahvalti bulamadik. Vs.",olumsuz,0.9925119280815125
24,70,La Perla Hotel Kemer,"Pozitif yonu, Istisnasiz butun personel cok iyiydi . Hepsine tekrar tesekkur ediyorum  Yemek bolumu temizlik bolumu havuz basi barmen hepsi cok iyiydi",olumlu,0.9974573850631714
25,70,La Perla Hotel Kemer,"Negatif yonu, Yemek cesidi cok azdi ve bazen aksamdan kalan patlicanlari sabah icin yanina patates dograyip cesit olsun diye koyuldu mesela hic guzel degildi yemekler",olumsuz,0.9987637400627136
26,70,La Perla Hotel Kemer,"Pozitif yonu, Konum olarak gayet guzel denize yakin olmasi cok iyiydi",olumlu,0.9990344643592834
27,70,La Perla Hotel Kemer,"Negatif yonu, Deniz kirliligi, yemeklerin lezzetsiz olusu",olumsuz,0.9973337054252625
28,42,Sunis Elita Beach Resort Spa,"Pozitif yonu, Akliniza gelebilecek hersey mukemmeldi . Tatil yapilabilecek en guzel yeri secmisim . Personel ve hizmet cok iyi ve en ince ayrintisina kadar dusunulmus . Tesekkur ediyoruz hersey icin.",olumlu,0.998949408531189
29,42,Sunis Elita Beach Resort Spa,"Negatif yonu, Denizi cakilli ama oteldende denize gitmek istemiyorsunuz zaten",olumsuz,0.99716717004776
30,42,Sunis Elita Beach Resort Spa,"Pozitif yonu, Guler yuzlu ve yardimsever personel, odalarin ve ortak kullanim alanlarinin temizligi, yemek ve alkol cesitliligi, cevre dostu otel, cocuklu aileler icin uygun",olumlu,0.9977594614028931
31,42,Sunis Elita Beach Resort Spa,"Negatif yonu, odalarda buklet urunlerinin olmamasi(pamuk, krem vs.) Deniz cok cabuk derinlesiyor",olumsuz,0.9933679699897766
32,42,Sunis Elita Beach Resort Spa,"Pozitif yonu, fiyat genel skalasina gore uygun fiyatli, temel beklentilerinizi karsiliyor, yemek secenekleri yeterli, her gun degisiyor, jumbo karides , ordek ve kuzu cevirme guzeldi, personelin cogunlugu guler yuzlu, isini yapmaya gayretkar, oda hizmetleri hic aksamadi, her gun temiz bir oda ve dolu bir icecek dolabi vardi, musteri iliskiler sorumlusu olumlu bir diyalog kuruyor, gittigim donemdeki musteri sayisinin yogun olmamasindan dolayi kalabalik kaynakli sira, sezlong vb sorun yasamadim, tam paket masaj iyiydi, su sporlarindki temsilci cok saygili, yardimsever, parasail'den manzarayi seyretmek guzel",olumlu,0.9954740405082703
33,42,Sunis Elita Beach Resort Spa,"Negatif yonu, eglence aktiviteleri zayif, animasyon ekibi amator, bazilari hic birsey vuramadin, askerlik yapmamis diye toplum onunde musterisini rencide edebilecek kadar saygisiz, kucuk cocuklu aileler havuz ve denizde kendi emniyet tedbirlerine dikkat etsinler, iki cankurtaran onlerindeki cocuk havuza dusme vakasini hic farketmediler, dereden veya coplerden kaynaklanan havuz bar arkasinda agir koku var, bardaki personele kokteyl tavsiye etmesini istedigimde onume menu kartini carparak orada yaziyor diyecek saygisizlikta (yakin gozlugum yanimda olmadigindan menuyu okuyamadigim icin sormustum) , deniz kayalik ve dalgali, hizla derinlesiyor, cin alakart menusu zayifti, spada sadece sauna var, kapali havuz kapali, spadaki uc dusta da sorunla karsilastim, sabun yok, sabunluk kirik, dusun kurnasi bozuk",olumsuz,0.9955191016197205
34,42,Sunis Elita Beach Resort Spa,"Negatif yonu, Oda konforu ve odalardaki malzeme kalitesi",olumsuz,0.9961273074150085
35,42,Sunis Elita Beach Resort Spa,"Pozitif yonu, Yemekler cok guzeldi personel cok kibar",olumlu,0.9988152384757996
36,42,Sunis Elita Beach Resort Spa,"Negatif yonu, Dort yetiskin icin bir banyo bir wc yetersiz deniz cok tasli denize yakin alanlar daha etkin hale getirilebilir nacizane fikrim",olumsuz,0.9980266094207764
37,37,Royal Taj Mahal,"Negatif yonu, Sabah aldigimiz havluyu gun icinde degisim yapamamiz biraz kotu oldu",olumsuz,0.998344898223877
38,37,Royal Taj Mahal,"Pozitif yonu, Guler yuz tatli dil anlayis burada hepsi mevcut",olumlu,0.9981843829154968
39,37,Royal Taj Mahal,"Negatif yonu, Hic kotu birsey olmamasi",olumsuz,0.9866518378257751
40,37,Royal Taj Mahal,"Pozitif yonu, Kis sezonu olmasina ragmen herseyiyle mukemmel bir tatil deneyimi oldu. Tum personellere ozellikle animasyon ekibine ( Jacop basta olmak uzere) tesekurler...",olumlu,0.998794436454773
123,152,Club Munamar Beach Resort,"Pozitif yonu, Oda konforu",olumlu,0.9911874532699585
41,112,Club Sun Heaven Family Spa Alanya,"Pozitif yonu, Fiyatina gore guzel bir otel",olumlu,0.9987608194351196
42,112,Club Sun Heaven Family Spa Alanya,"Negatif yonu, Otelin sahibi rus sanirim ruslarla doluydu",olumsuz,0.9979686737060547
43,3,Altin Yunus Hotel Spa – Cesme,"Pozitif yonu, Denizi mukemmel Personel mukemmel Temizlik mukemmel Spa mukemmel",olumlu,0.9986897110939026
44,3,Altin Yunus Hotel Spa – Cesme,"Negatif yonu, Sosyal aktivite sifir Fitnes kapanis 19.00  Aksam otelde bosuna durmayin hic bir sey yok",olumsuz,0.9968928694725037
45,3,Altin Yunus Hotel Spa – Cesme,"Pozitif yonu, Cocuklar icin etkinlikler. Iyi hizmet ve duzgun personel. Termal havuz. Pinar urunleri kullanilmasi. Ekstra fiyatlarinin uygun olmasi.",olumlu,0.9979131817817688
46,3,Altin Yunus Hotel Spa – Cesme,"Negatif yonu, Yemeklerde icecek olmamasi.",olumsuz,0.9982489347457886
47,29,Pine Beach Belek,"Pozitif yonu, Cok guzel bir tatil gecirdik , personel cok saygili kibar guler yuzlu  Bayram programi da cok guzeldi",olumlu,0.9986624717712402
48,29,Pine Beach Belek,"Pozitif yonu, Personelin ilgisi mukemmel. Ogunlerdeki cesitlilik aldigi parayi hakeder cinsten. Her aksam degisik Tandir urunleri balik cesitler vb. lezzet dolu yemekler oldukca tatmin ediciydi. Hepsinden ote Yilbasi Gala programi mukemmeldi. Degisik dans guruplari ve solistler, cocuklar icin harika bir organizasyonlari olabilecegin en iyisi gibiydi. Bir kez daha gitmeyi dusunecegim oteller arasinda ilk sirada yerini aldi.  Tum ekibe tesekkurlerimizi sunariz.",olumlu,0.951574981212616
49,29,Pine Beach Belek,"Negatif yonu, Kapali havuz ve odalar arasi mesafe oldukca uzun ve bina ici olsa da acik alandan gitmek zorunda kaliyorsunuz. cocuklu aileler icin hastalanma yonunden sakincali bir durum ancak ek onlemler alinarak (Bornoz, havlu) cozum saglanabiliyor.",olumsuz,0.9966753721237183
50,29,Pine Beach Belek,"Pozitif yonu, Yemekler ve icecekler! Sef kimse tesekkuru hakediyor, cok guzel yemekler ve iceceklere sahip bir mutfak, o kalabaliga ragmen kaliteden odun vermeden sunuluyor. Havuzlar ve aqua parki da eglenceli.",olumlu,0.9978335499763489
51,29,Pine Beach Belek,"Negatif yonu, Deniz cok dalgaliydi, keyif alamadik o yuzden. Havuz etrafindaki sezlonglar da maalesef yetersiz kaldi. Otel buyuk bir alana yerlesik olmasi da ulasimda biraz sikinti, her ne kadar shuffle olsa da.",olumsuz,0.9972195625305176
52,29,Pine Beach Belek,"Pozitif yonu, Cok cok guzel",olumlu,0.9979348182678223
53,29,Pine Beach Belek,"Negatif yonu, Benim icin hic bir olumsuzluk olmadi",olumlu,0.7794530391693115
54,124,Port Nature Luxury Resort Hotel Spa,"Pozitif yonu, her zaman biseyler yemek icin secenek olmasi guzel",olumlu,0.9986615777015686
55,124,Port Nature Luxury Resort Hotel Spa,"Negatif yonu, denizi taslik",olumsuz,0.9958083629608154
56,124,Port Nature Luxury Resort Hotel Spa,"Pozitif yonu, Yemek odalar temizlik",olumlu,0.9984946250915527
57,124,Port Nature Luxury Resort Hotel Spa,"Negatif yonu, Bebek arabasi kirasi 10 euro olmasi   animasyonlar  daha iyi olabilir",olumsuz,0.996772289276123
58,124,Port Nature Luxury Resort Hotel Spa,"Pozitif yonu, sorun yasamadik misafirler birbirlerine gayet saygili ve persnel de bir o kadar da guleryuzlu.",olumlu,0.9987325072288513
59,124,Port Nature Luxury Resort Hotel Spa,"Negatif yonu, 1- cok kaliteli pecete bile kullanmalarina ragmen islak mendik zor buluyorduk. 2- personelin cikis yaparken tum musterilerin sanki potansiyel hirsizmis gibi valizlerini dedektor ile aramalari cok rahatsiz etti. bunun yerine giris ve cikislarda magazalardaki gibi dedektor sistemi olsa daha iyi olur dusuncesindeyim. 3- cocuk havuzunda cam kigi buldum ve gorevlilere vererek temizlenmesi konusunda uyardim. daha titiz olursa sevinirim.",olumsuz,0.9957574009895325
60,124,Port Nature Luxury Resort Hotel Spa,"Pozitif yonu, Yeme icme gayet guzeldi ilgi alaka cok. Iyi cok memnun kaldik",olumlu,0.9989854693412781
61,43,Susesi Luxury Resort,"Pozitif yonu, Kapali icecekler ve misir cok iyiydi",olumlu,0.9981933236122131
62,43,Susesi Luxury Resort,"Negatif yonu, Bazi yemekler cabuk bitiyor ve devami yok deniliyor,yemek ve kahvalti cesitligi az, ozellikle aksam yemek saati cok kalabalik oluyor,surekli bir kosturma oluyor",olumsuz,0.996464192867279
63,43,Susesi Luxury Resort,"Pozitif yonu, Hersey ust duzey ruya gibi bir yer susesi ailesine sonsuz tesekkurler",olumlu,0.9986238479614258
64,43,Susesi Luxury Resort,"Negatif yonu, Olumsuz bir tane yonu yok",olumsuz,0.6019212007522583
65,43,Susesi Luxury Resort,"Pozitif yonu, Otelde ilk kez konakladik kus sesi, su sesleriyle tek kelimeyle hersey eksiksiz muhtesemdi (Seda hanim, Ugur bey ilginize tsk).Bayram haftasi konakladik. Disarida sicak havuzumuz vardi cok eglendik. kids-midi club vuslat,irmak gulperi hanim kizlarim cok mutluydu. Yiyecekler ve icecekler her geceye ayri konseptle (uzak dogu, Meksika, turk mutfagi gibi) inanilmaz lezzetliydi. Personel ilgisi alakasi her alanda superdi. Tesis yaz konseptiyle hizmet verdi aksam konserleri de guzeldi.Tekrar mutlaka gelicez",olumlu,0.9943171739578247
66,43,Susesi Luxury Resort,"Negatif yonu, Olumsuz bir yonu yokkk",olumlu,0.9058099985122681
67,43,Susesi Luxury Resort,"Pozitif yonu, Resepsiyon dan restorana garsondan barmene Personelin tamami guler yuzlu ve ilgili  Yemekler kaliteli  odalar temiz",olumlu,0.9974527955055237
68,43,Susesi Luxury Resort,"Negatif yonu, Animasyon be spor ekibi cok ilgisiz ve umursamaz  etkinliklere katilim istenmiyor gibi bir tavir  bitisin de gidelim davranisi vardi",olumsuz,0.9964076280593872
69,43,Susesi Luxury Resort,"Pozitif yonu, Hersey tatil konforu icin dusunulmus",olumlu,0.9988000988960266
70,99,Wome Deluxe Hotel,"Pozitif yonu, Basta personelin tamami guleryuzlu, musterilerine memnuniyet yarisindalar sanki. Tesis cok kaliteli ve ayrica yesil ve mavinin bir arada yasandigi mukemmel bir lokasyonda. Basta mudur yrd. Furkan bey olmak uzere, tum yonetici ve calisanlarina tesekkurler, tebrikler.",olumlu,0.9983588457107544
71,99,Wome Deluxe Hotel,"Negatif yonu, Ortak plajda suni yada daimi bit iskele olmali.",olumsuz,0.914306104183197
72,99,Wome Deluxe Hotel,"Pozitif yonu, Yemekler icecekler her sey cok lezzetliydi. Bayan bolumu cok iyiydi. Calisanlar cok ozveriliydi. Ozellikle oda temizlemede calisan abladan cok memnun kaldik. Cok tesekkur ediyoruz.",olumlu,0.9976497292518616
73,99,Wome Deluxe Hotel,"Negatif yonu, Karma deniz biraz tasliydi",olumsuz,0.9966915249824524
74,99,Wome Deluxe Hotel,"Pozitif yonu, Cocuklar icin mukemmel bir otel ama kucuk olduklari icin cok vakit geciremedik malesef insallah biraz daha buyusunler tekrar gelmek isteriz",olumlu,0.9993427395820618
75,113,Delta Hotels By Marriott Bodrum,"Pozitif yonu, Yemekler fena degil  Deniz  guzel",olumlu,0.9985097050666809
76,113,Delta Hotels By Marriott Bodrum,"Negatif yonu, Bebek araba indirebilecegin rampa yok kucagimda merdivenlerden bebek arabasi tasidim Personel yok 1 saat siparis icin bekledim Cocuk bebeklere ozel yemek kesinlikle yok bebekler ac kaldi diyebilirim Kokteyl yapan barmen kokteyl yapmayi bilmiyor",olumsuz,0.9964975118637085
77,113,Delta Hotels By Marriott Bodrum,"Pozitif yonu, Konum, deniz, karinca haric oda.",olumlu,0.9982971549034119
78,113,Delta Hotels By Marriott Bodrum,"Negatif yonu, Odalardaki karincalar, acik mekanlardaki temizlik.",olumsuz,0.9960672855377197
79,113,Delta Hotels By Marriott Bodrum,"Pozitif yonu, Deniz, personel, oda",olumlu,0.9977531433105469
80,113,Delta Hotels By Marriott Bodrum,"Negatif yonu, Yemekler, yuruyus alani olmamasi",olumsuz,0.9978339672088623
81,113,Delta Hotels By Marriott Bodrum,"Negatif yonu, Yemekler kotu  Bir icecek bir barda baska icecek baska barda El sabunu cikmiyor cok kotu sampuan kopurmuyor",olumsuz,0.9982394576072693
82,52,Orange County Belek,"Pozitif yonu, Otelde 6 gun konakladik ilk giristen cikisa kadar personelin guler yuzu ilgi alakasi cok iyiydi. Temizlik hijyen muazzam derecede iyi.Yemek.tatli ve meyveleri cok iyi. Bir dahaki sene tekrar gelmek istedigin ve yakinlarima tavsiye verebilecegim cok iyi bir otel.",olumlu,0.9980892539024353
83,52,Orange County Belek,"Negatif yonu, Kucuk cocuklar  bez olmadan havuza sokulmamali buna dikkat edilmiyor…..",olumsuz,0.9953041076660156
84,52,Orange County Belek,"Pozitif yonu, Bir kac nokta disinda genelde olumlu yonleri agir basiyor.",olumlu,0.9216399788856506
85,52,Orange County Belek,"Negatif yonu, Serin havalarda yari acik, korunakli mekanlarda etkinlik yapilmasi iyi olur. Kedilerin sagligi ile daha yakindan ilgilenilmesi ( yukarida yazdigim gibi ) Turk Hamaminin 2 adet olmasi iyi olurdu, bir taraf sadece kadinlar, diger taraf karisik seklinde. Yemek kalitesinin biraz daha arttirilip, cesitliligi de beraberinde genisletmek iyi olacaktir.",olumsuz,0.9674164056777954
86,52,Orange County Belek,"Pozitif yonu, odalar ile merkez arasi yakin oldugu icin bizi yormadi. sakin ve aile oteli denebilir eglence aktivitesi ise iyiydi.",olumlu,0.9971205592155457
87,52,Orange County Belek,"Negatif yonu, havuz kisminin oda sicakligi dusuktu daha sonra talep edince actilar. serbetli tatli hic yoktu",olumsuz,0.9699773192405701
88,52,Orange County Belek,"Pozitif yonu, Harika bir otel",olumlu,0.9979764819145203
89,52,Orange County Belek,"Negatif yonu, Hic bir olumsuz yonu yok harika otel",olumlu,0.9629725813865662
90,72,Museum Resort Spa,"Pozitif yonu, Havuz guzel",olumlu,0.9966086745262146
91,72,Museum Resort Spa,"Negatif yonu, Odada buzdolabi ve televizyon yok",olumsuz,0.9959424734115601
92,72,Museum Resort Spa,"Pozitif yonu, Olumlu yonu yok heryer pislik personel ufak yaslari biseyler yapmayi calisiyorlar ama imkan yok.",olumsuz,0.8869640231132507
93,72,Museum Resort Spa,"Negatif yonu, 2 kisi konakladik . Oda olarak mobilyalar cok eski ve elinizde kalcak gibi banyosu cok ufak . Tolet pecetelik yok . Yemekhane ve yemek alma yeri sineklerle ortak yemek aliyoruz . Heryer plastik bardak . Barda karton bardaktan alkol aliyorsun. Havuzda cok klorlu senzok  sayisi yetersiz .",olumsuz,0.9970690608024597
94,4,Armonia Holiday Village Spa,"Pozitif yonu, Yemekler Havuzlar  Ickiler Kaydiraklar Bar & Snack Bar bolumleri Temizlik Fiyat - Performans Vs… vs… Esimle birlikte 3 sene once de gelip icimizde 1001 ukde ile oteli terk etmistik. Armonia aradan gecen bu 3 yilda oldukca yol katetmis. Biz de yine gelecegimiz gunu beklemeye simdiden basladik.",olumlu,0.9982490539550781
95,4,Armonia Holiday Village Spa,"Pozitif yonu, Ruzgar esintisi haric diger butun husular olumlu idi.",olumlu,0.9967248439788818
96,4,Armonia Holiday Village Spa,"Negatif yonu, Otelin bulundugu konum surekli ruzgar aliyor. Cok iyi derecede yuzme bilmiyenler icin bir olumsuzluk olabilir. Deniz 3-5 metrede derinlesiyor.",olumsuz,0.9965309500694275
97,4,Armonia Holiday Village Spa,"Pozitif yonu, Sezlong sikintisi yok, denizi guzel, odalar temiz, personel cok ilgili ve titiz. Sistemli calisiliyor, otel hakkini veriyor. Tesekkurler.",olumlu,0.9982382655143738
98,4,Armonia Holiday Village Spa,"Negatif yonu, Odadaki sifreli kasalar ucretli, yanimizda canta tasidik :( Filtre kahve yok",olumsuz,0.9888356924057007
99,4,Armonia Holiday Village Spa,"Pozitif yonu, Denize sifir olmasi,personeli cok ilgili ve yardimsever yiyecek ve icecekler guzel",olumlu,0.9978251457214355
100,4,Armonia Holiday Village Spa,"Negatif yonu, Oda temizligi daha iyi olabilir",olumsuz,0.9927307963371277
101,34,Rizom Beach Hotel Kumluca,"Pozitif yonu, Otel yemekleri guzeldi fakat balayi cifti olmamiza ragmen hic bir arti yani yoktu",olumlu,0.9987615942955017
102,34,Rizom Beach Hotel Kumluca,"Negatif yonu, Oda temizligi sifir . odayi temizlemesi icin oda temizligi cagiriyorsunuz nevresimi ters cevirip odada hic birsey yapmadan geri donuyor hijyen konusunda begenmedim",olumsuz,0.9987577199935913
103,34,Rizom Beach Hotel Kumluca,"Pozitif yonu, DENIZ GUZEL FAKAT DALGALI ODA TEMIZLIGI IYI YEMEKLER GUZEL PERSONELLER ILGILI",olumlu,0.9986016750335693
104,34,Rizom Beach Hotel Kumluca,"Negatif yonu, KARMA HAVUZ KUCUK VE KIRLI  DIS MEKANLARDA SAAT VE SICAKLIK OLCER YOK (HAVUZLAR DAHIL)",olumsuz,0.9942691326141357
105,34,Rizom Beach Hotel Kumluca,"Pozitif yonu, Fiyat olarak uygun",olumlu,0.9978865385055542
106,34,Rizom Beach Hotel Kumluca,"Negatif yonu, Yemek cesidi az",olumsuz,0.9964925646781921
107,34,Rizom Beach Hotel Kumluca,"Negatif yonu, Yemek cesitleri cok az..havuz yetersiz..havuz kenarinda sezlonglar yetersiz yer bulmakta zorlaniyorduk",olumsuz,0.9969471096992493
108,44,Timo Deluxe Resort,"Negatif yonu, En buyuk olumsuzluk dondurma servisinin iki gunde bir olmasi ve dondurmanin neyli oldugunu secememeniz.gotevki personel hangi iki kutuyu actiysa onlardan birini yada ikisini tercih edebiliyorsunuz",olumsuz,0.9958576560020447
109,44,Timo Deluxe Resort,"Pozitif yonu, Yemekler cok guzel ve lezzetli personel guler yuzlu hic olumsuz personel gormedim temizlik cok guzel",olumlu,0.9977055191993713
110,44,Timo Deluxe Resort,"Negatif yonu, Eglence kismi yetersiz birazda havuzlarda sezlon sorunu var kolay kolay yer bulunmuyor",olumsuz,0.9976919293403625
111,44,Timo Deluxe Resort,"Pozitif yonu, personel durumu cok iyi.Yemekleriniz lezzetli.Hijyen 10 numara.Mudurunuz ,danismadaki arkadaslar ve bayan guvenlik arkadasimiz emine hanima da ilgilerinden dolayi tesekkur ederiz.",olumlu,0.9980010390281677
112,44,Timo Deluxe Resort,"Pozitif yonu, Odalar temiz,yemek bol ve lezzetli, guler yuzlu personel",olumlu,0.9983611702919006
113,44,Timo Deluxe Resort,"Negatif yonu, Bence yoktu",olumsuz,0.9622454643249512
114,100,Telatiye Resort Hotel,"Pozitif yonu, Fiyati uygun, personeli guler yuzlu, otel temiz ve sakindi.  Yemekler taze ve iyiydi. Etkinlikler cesitlendirilebilir. Mutfak sefimize saygilar.",olumlu,0.9965975880622864
115,100,Telatiye Resort Hotel,"Negatif yonu, Denizi cakilli ve sahili sig degil.  Biraz dalgali.",olumsuz,0.9930009245872498
116,107,Blue Dreams Resort,"Pozitif yonu, Tandogan hilal ve esila hanima Cook tesekkurler ????",olumlu,0.995551347732544
117,107,Blue Dreams Resort,"Pozitif yonu, Genel olarak calisanlar mudur ve sefler cok mutavazi guler yuzlu",olumlu,0.9980164766311646
118,107,Blue Dreams Resort,"Negatif yonu, Neredeyse yok 2-3 personel haric",olumsuz,0.9963861703872681
119,107,Blue Dreams Resort,"Pozitif yonu, Yemekleri harikaydi, sezon sonunda gittigimiz icin eglence ve animasyon yoktu otelin konumu harika, denizi cok berrak fakat taslik personel guler yuzluydu. Balayi cifti oldugumuz icin deniz manzarali oda yerine deluxe oda verdiler ucretsiz olarak",olumlu,0.9973709583282471
120,107,Blue Dreams Resort,"Negatif yonu, Plaji taslik",olumsuz,0.9959561228752136
121,152,Club Munamar Beach Resort,"Pozitif yonu, Havuz sayisi cesitli.Personel ihtiyac durumunda yardimci oluyorlar.",olumlu,0.9986901879310608
122,152,Club Munamar Beach Resort,"Negatif yonu, Hep ayni tatlilar cikiyor.Yemeklerin bazilari kalanlar ve eksimis. Plajda sezlong sayisi cok cok az.",olumsuz,0.9969133734703064
124,152,Club Munamar Beach Resort,"Negatif yonu, Icecek ve yemek",olumsuz,0.9954760670661926
125,152,Club Munamar Beach Resort,"Pozitif yonu, Deniz yakinligi havuz temizligi",olumlu,0.9983215928077698
126,152,Club Munamar Beach Resort,"Negatif yonu, Odalar dokuluyor yataklar eski yemekler berbat",olumsuz,0.9980334639549255
127,152,Club Munamar Beach Resort,"Pozitif yonu, Yeme icme yeterli seviyede ve lezzetliydi tesis temiz ve personeller Guler yuzluydu memnun kaldigimiz bir tatil oldu bizim icin tesekkur ederiz.",olumlu,0.9977433085441589
128,152,Club Munamar Beach Resort,"Negatif yonu, 2 bina arasinda mesafe olmasi,cocuk havuzunun yetersiz olmasi gelistirilmesi gerekiyor.",olumsuz,0.9984538555145264
129,152,Club Munamar Beach Resort,"Pozitif yonu, Aksam eglenceleri cok guzel",olumlu,0.9981825351715088
130,152,Club Munamar Beach Resort,"Negatif yonu, Yemek hizmeti ve havuz hijyeni biraz daha iyi olabilirdi",olumsuz,0.9939083456993103
131,5,Champion Holiday Village,"Pozitif yonu, Konum alan mekan cok guzel ama yonetebilmek tabiki hepsinden onemli",olumlu,0.998289167881012
132,5,Champion Holiday Village,"Pozitif yonu, Genel olarak memnun kaldik",olumlu,0.9978071451187134
133,5,Champion Holiday Village,"Pozitif yonu, Doga icersinde mukemmel bir yere sahip.personelleri hepsi guler yuzlu ve ilgili, daha otele giriste guvenlik personellerinin sizi karsilamasindan anlayacaksiniz ki calisanlarin hepsi ilgililer.",olumlu,0.9993411898612976
134,5,Champion Holiday Village,"Negatif yonu, Oda klimalari belirli saatlerde kendiliginden aktif oluyor, istediginiz zaman kullanamiyorsunuz",olumsuz,0.9951330423355103
135,5,Champion Holiday Village,"Pozitif yonu, Yemek harikaydi. Ortam cok guzel ve yesildi. Misafirperver davrandilar ve fazladan yarim gun boyunca ucretsiz hizmet verdiler.",olumlu,0.9985556602478027
136,5,Champion Holiday Village,"Negatif yonu, Sahilde cok tas vardi ve uygun degildi. Alkollu icecekler kalitesizdi ve alkolsuz gorunuyordu. Eglence ekibi zayifti. Dans pisti yok, muzik yok, disko yok, cok uzulduk.",olumsuz,0.9974140524864197
137,5,Champion Holiday Village,"Pozitif yonu, iskele guzeldi. animasyon ekibi iyiydi ve yemekler ortalama kalitedeydi. sessiz havuzda cocuk olmamasi ayri iyiydi.",olumlu,0.9976186156272888
138,5,Champion Holiday Village,"Negatif yonu, resepsiyondakiler zorla calisiyor gibilerdi. ya yasimdan dolayi beni kucuk gorduler ya da turk oldugum icin asla ilgilenmediler. elime karti tutusturup odani bul dediler ve sakat belimle merdivenden bavul tasidim.",olumsuz,0.996382474899292
139,30,Presa Di Finica Hotel,"Pozitif yonu, sadece aqua parki guzel , heseyi kotu",olumlu,0.9947943091392517
140,30,Presa Di Finica Hotel,"Negatif yonu, yemekler berbat, havuc kizarmasi ana yemek mi olur_ana yemekte  cesit sifir .. Ana restaurant 7 tane yemek kabinda yedisinde de  haslama yemek var ,  Ana restauranta herseyde sira var. tatli yemeniz mucize , kalmiyor , dondurma servisi sadece 1 saat ve serviste  kuyruk oluyor..  Gece klimalar calismiyor , ara ara aciyorlar enerjisiniz.. Kesinlikle tavsiye etmiyorum , gidin sahile cadir kurun daha iyi",olumsuz,0.9948557615280151
141,30,Presa Di Finica Hotel,"Pozitif yonu, Personel gayet iyi",olumlu,0.9963893294334412
